version,title,chart,level,bpm,notes,genre,artist
4th,starmine,HYPER,8,182,719,HAPPY HARDCORE,Ryu☆
4th,starmine,ANOTHER,9,182,800,HAPPY HARDCORE,Ryu☆
4th,SWEET LAB,NORMAL,3,120,280,LOUNGE HOUSE,DJ SIMON
4th,SWEET LAB,HYPER,6,120,496,LOUNGE HOUSE,DJ SIMON
4th,SWEET LAB,ANOTHER,10,120,692,LOUNGE HOUSE,DJ SIMON
4th,Voltage(feat. Hidemaru),NORMAL,5,30～125,480,BIG BEAT,TaQ
4th,Voltage(feat. Hidemaru),HYPER,7,30～125,630,BIG BEAT,TaQ
4th,Voltage(feat. Hidemaru),ANOTHER,8,30～125,670,BIG BEAT,TaQ
5th,Abyss,NORMAL,5,142,639,INTELLIGENCE,dj TAKA
5th,Abyss,HYPER,7,142,817,INTELLIGENCE,dj TAKA
5th,Abyss,ANOTHER,8,142,945,INTELLIGENCE,dj TAKA
5th,in my eyes,NORMAL,5,142,484,TRANCE,ric
5th,in my eyes,HYPER,6,142,739,TRANCE,ric
5th,in my eyes,ANOTHER,7,142,798,TRANCE,ric
5th,LOVE AGAIN TONIGHT～for Mellisa mix～,NORMAL,4,150,385,HYPER EUROBEAT,NAOKI feat.PAULA TERRY
5th,LOVE AGAIN TONIGHT～for Mellisa mix～,HYPER,5,150,501,HYPER EUROBEAT,NAOKI feat.PAULA TERRY
5th,LOVE AGAIN TONIGHT～for Mellisa mix～,ANOTHER,6,150,561,HYPER EUROBEAT,NAOKI feat.PAULA TERRY
5th,outer wall,NORMAL,5,149,474,TECHNO,sampling masters MEGA
5th,outer wall,HYPER,6,149,687,TECHNO,sampling masters MEGA
5th,outer wall,ANOTHER,8,149,892,TECHNO,sampling masters MEGA
5th,QQQ,NORMAL,5,155,621,TECHNO,TaQ
5th,QQQ,HYPER,8,155,961,TECHNO,TaQ
5th,QQQ,ANOTHER,10,155,1091,TECHNO,TaQ
5th,Radical Faith,NORMAL,5,114,602,BIG BEAT,TaQ
5th,Radical Faith,HYPER,6,114,768,BIG BEAT,TaQ
5th,Radical Faith,ANOTHER,7,114,660,BIG BEAT,TaQ
5th,Real,NORMAL,5,200,580,DRUM'N'BASS,Aya
5th,Real,HYPER,8,200,866,DRUM'N'BASS,Aya
5th,Real,ANOTHER,9,200,920,DRUM'N'BASS,Aya
5th,Regulus,NORMAL,6,120～128,551,INSTRUMENTAL,DJ.W
5th,Regulus,HYPER,9,120～128,788,INSTRUMENTAL,DJ.W
5th,Regulus,ANOTHER,10,120～128,881,INSTRUMENTAL,DJ.W
5th,RIDE ON THE LIGHT(HI GREAT MIX),NORMAL,4,180,452,POWER FUSION,Mr.T
5th,RIDE ON THE LIGHT(HI GREAT MIX),HYPER,5,180,548,POWER FUSION,Mr.T
5th,RIDE ON THE LIGHT(HI GREAT MIX),ANOTHER,8,180,862,POWER FUSION,Mr.T
5th,RIDE ON THE LIGHT(HI GREAT MIX),LEGGENDARIA,10,180,931,POWER FUSION,Mr.T
5th,RISLIM,NORMAL,4,130,463,NEW ROMANTIC,ric
5th,RISLIM,HYPER,7,130,625,NEW ROMANTIC,ric
5th,sometime,NORMAL,4,150,393,SOUND TRACK,Aya
5th,sometime,HYPER,6,150,539,SOUND TRACK,Aya
5th,sometime,ANOTHER,8,150,672,SOUND TRACK,Aya
5th,Spin the disc,NORMAL,5,130,409,HOUSE,good-cool
5th,Spin the disc,HYPER,7,130,659,HOUSE,good-cool
5th,Spin the disc,ANOTHER,8,130,674,HOUSE,good-cool
5th,STILL IN MY HEART,NORMAL,5,150,517,HYPER EUROBEAT,NAOKI
5th,STILL IN MY HEART,HYPER,7,150,705,HYPER EUROBEAT,NAOKI
5th,STILL IN MY HEART,ANOTHER,9,150,971,HYPER EUROBEAT,NAOKI
5th,still my words,NORMAL,4,136,464,AMBIENT,TaQ feat. Meg
5th,still my words,HYPER,6,136,619,AMBIENT,TaQ feat. Meg
5th,sync,NORMAL,6,167,549,TRANCE,OutPhase (TaQ/dj TAKA)
5th,sync,HYPER,8,167,982,TRANCE,OutPhase (TaQ/dj TAKA)
5th,sync,ANOTHER,10,167,1204,TRANCE,OutPhase (TaQ/dj TAKA)
5th,THE CUBE,NORMAL,4,178,374,DRUM'N'BASS,DJ SUWAMI
5th,THE CUBE,HYPER,6,178,644,DRUM'N'BASS,DJ SUWAMI
5th,THE CUBE,ANOTHER,7,178,682,DRUM'N'BASS,DJ SUWAMI
5th,THE SHINING POLARIS,NORMAL,5,147,485,EPIC TRANCE,L.E.D. feat. Sana
5th,THE SHINING POLARIS,HYPER,7,147,667,EPIC TRANCE,L.E.D. feat. Sana
5th,THE SHINING POLARIS,ANOTHER,8,147,799,EPIC TRANCE,L.E.D. feat. Sana
5th,V,BEGINNER,2,150,173,PROGRESSIVE,TAKA
5th,V,NORMAL,5,150,646,PROGRESSIVE,TAKA
5th,V,HYPER,10,150,1272,PROGRESSIVE,TAKA
5th,V,ANOTHER,12,150,1519,PROGRESSIVE,TAKA
6th,"19,November",NORMAL,5,125,560,HOUSE,good-cool
6th,"19,November",HYPER,6,125,733,HOUSE,good-cool
6th,"19,November",ANOTHER,8,125,910,HOUSE,good-cool
6th,BALLAD FOR YOU～想いの雨～,NORMAL,4,65,297,BALLAD,NM feat.Thomas Howard
6th,BALLAD FOR YOU～想いの雨～,HYPER,5,65,387,BALLAD,NM feat.Thomas Howard
6th,BALLAD FOR YOU～想いの雨～,ANOTHER,7,65,537,BALLAD,NM feat.Thomas Howard
6th,Blueberry Stream,NORMAL,5,138,429,HOUSE,dj TAKA
6th,Blueberry Stream,HYPER,7,138,770,HOUSE,dj TAKA
6th,Blueberry Stream,ANOTHER,8,138,846,HOUSE,dj TAKA
6th,Buffalo,NORMAL,5,108,511,ROCK,good-cool feat. Hideo Suwa
6th,Buffalo,HYPER,7,108,744,ROCK,good-cool feat. Hideo Suwa
6th,Buffalo,ANOTHER,10,108,932,ROCK,good-cool feat. Hideo Suwa
6th,Colors(radio edit),NORMAL,6,150,751,TRANCE,dj TAKA
6th,Colors(radio edit),HYPER,9,150,1011,TRANCE,dj TAKA
6th,Colors(radio edit),ANOTHER,12,150,1258,TRANCE,dj TAKA
6th,DIVE～INTO YOUR HEART～,NORMAL,5,155,656,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY
6th,DIVE～INTO YOUR HEART～,HYPER,8,155,945,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY
6th,DIVE～INTO YOUR HEART～,ANOTHER,10,155,1066,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY
6th,fly through the night,NORMAL,4,140,452,TRANCE,Mr.T
6th,fly through the night,HYPER,7,140,688,TRANCE,Mr.T
6th,fly through the night,ANOTHER,8,140,863,TRANCE,Mr.T
6th,Free Style,NORMAL,5,132,473,DANCE POP,Shapes
6th,Free Style,HYPER,6,132,571,DANCE POP,Shapes
6th,Free Style,ANOTHER,7,132,664,DANCE POP,Shapes
6th,Frozen Ray(original mix),NORMAL,6,156,669,TRANCE,dj TAKA
6th,Frozen Ray(original mix),HYPER,9,156,897,TRANCE,dj TAKA
6th,Frozen Ray(original mix),ANOTHER,9,156,909,TRANCE,dj TAKA
6th,G2,NORMAL,8,170,752,DRUM'N'BASS,Aya
6th,G2,HYPER,9,170,942,DRUM'N'BASS,Aya
6th,G2,ANOTHER,11,170,1188,DRUM'N'BASS,Aya
6th,Linus,NORMAL,5,160～176,489,LOUNGE POP,LEGO STUDIO
6th,Linus,HYPER,9,160～176,789,LOUNGE POP,LEGO STUDIO
6th,Linus,ANOTHER,11,160～176,1105,LOUNGE POP,LEGO STUDIO
6th,NEMESIS,NORMAL,5,164,524,TECHNO,D.J.SETUP
6th,NEMESIS,HYPER,9,164,839,TECHNO,D.J.SETUP
6th,NEMESIS,ANOTHER,11,164,973,TECHNO,D.J.SETUP
6th,rottel-da-sun,NORMAL,5,200,417,ROTTERDAM TECHNO,sampling masters MEGA
6th,rottel-da-sun,HYPER,8,200,692,ROTTERDAM TECHNO,sampling masters MEGA
6th,rottel-da-sun,ANOTHER,10,200,936,ROTTERDAM TECHNO,sampling masters MEGA
6th,route 80s,NORMAL,6,122,457,NOISY,sampling masters MEGA
6th,route 80s,HYPER,8,122,614,NOISY,sampling masters MEGA
6th,route 80s,ANOTHER,9,122,766,NOISY,sampling masters MEGA
6th,SOMETHING WONDERFUL,NORMAL,6,150,471,EPIC TRANCE,L.E.D.
6th,SOMETHING WONDERFUL,HYPER,8,150,688,EPIC TRANCE,L.E.D.
6th,SOMETHING WONDERFUL,ANOTHER,10,150,1003,EPIC TRANCE,L.E.D.
6th,Summer Vacation(CU mix),NORMAL,6,135,667,TRIP HOP,OutPhase
6th,Summer Vacation(CU mix),HYPER,9,135,949,TRIP HOP,OutPhase
6th,Take It Easy,NORMAL,7,205,760,INSTRUMENTAL,Aya
6th,Take It Easy,HYPER,10,205,1229,INSTRUMENTAL,Aya
6th,Take It Easy,ANOTHER,11,205,1282,INSTRUMENTAL,Aya
